en,ta
dynamic equilibrium,இயங்கியற் சமநிலை
ransom,மீட்கும் பொருள்
naturalisation,நாட்டுரிமைப்பேறு
dominant point,அதிகாரமுள்ள குறிப்பீடு
visual effect,காட்சிவிளைவு
vice versa,மறுதலையாக
taxpayers association,வரிகட்டுவோர் சங்கம்
super tax,உயர் வரி
sound bite,நாத பைற்
adulterated,கலப்படஞ் செய்யப்பட்ட
labelled,அடையாளமிடப்பட்டு
award damages,சேத அளிப்பு
adjustment of error,வழு சீராக்கம்
television-surrogate for community,சனசமூகத்திற்கான தொலைக்காட்சி பதிலி
livestock farming,கால்நடை வளர்ப்பு
encumbrance,தடை
commercial tax officer,வணிகவரி அதிகாரி
hyperactivity,மிகைப்புச்செயற்பாடு
works estimates,வேலை மதிப்பீடுகள்
balanced programming,சமநிலையிலான நிகழ்ச்சிச்செயலாக்கம்
Neolithic age,புதிய கற்கால யுகம்
humour,நகைச்சுவை
tertiary education,மூன்றாம் நிலைக்கல்வி
servient right,சேவிக்கும் உரிமை
reflection,பிரதிபலிப்பு
disturbance,குழப்பம்
subsiting obligations,நிலவும் கடப்பாடுகள்
assess,மதிப்பிடு
tribunal of appeal,மேன்முறையீட்டு நீதி மன்ற விளக்கம்
academic discipline,கல்விசார் ஒழுக்கம்
nil statement,கூற்றின்மை
executive power,நிறைவேற்றுத் தத்துவம்
batta,(b)பட்டா
transformation,உருமாற்றம்
vigilance,விழிப்புநிலை
indigenous medicine,சுதேச மருத்துவம்
liable,ஆளாதல்
map reading,பட வாசிப்பு
continuous possession,தொடர்ச்சியான உடைமை
collective mind,கூட்டு மனம்
extension of time,காலநீடிப்பு
narrowcast,குறுங்கதாபாத்திரம்
holiday warrants,விடுமுறை ஆணைச்சீட்டு
savings reported under,அறிவிக்கப்பட்ட சேமிப்பு
potetative condition,அதிகாரத்துக்குட்பட்ட நிபந்தனை
financial loss,பணநட்டம்
elective (a),தெரிவு(ப்பாடம்)
preprint,முன்-அச்சு
superficiarus,உரிமையற்ற காணியில் நிர்மானித்த வீட்டுடைமையாளர்
salariat,சம்பள வகுப்பு
depreciation investment account,தேய்மான முதலீட்டுக் கணக்கு
intercom,உள்ளகத் தொலைபேசி
contributory pension,உடனுதவும் ஓய்வூதியம்
economic disturbance,பொருளாதாரக் குழப்பம்
consult,கலந்தாய்
thriller,சிலிர்க்க வைக்கும்
certification mark,சான்றுக் குறி
dictation,சொல்வதெழுதல்
high commissioner,உயர் ஆணையாளர்
outdoor (a),திறந்தவெளியில்
aerodrome,விமானத்தளம்
international news safety institute,சர்வதேச செய்திப் பாதுகாப்பு நிறுவனம்
premium,முற்கட்டு
technical objection,தொழில்நுட்ப  ஆட்சேபனை
signal compression,அடையாள அழுத்தம்
slave,அடிமை
simple agreement,சாதாரண உடன்படிக்கை
after surrender of imprests,கட்டுநிதியைக் கையளித்த பின்
plurality of non-state and non-market media,அரசாங்கசாராததும் சந்தை-சாராததுமான ஊடகத்தின் பல்வகைமை
revenue estimates,அரசிறை மதிப்பீடுகள்
account for,கணக்குக்காட்டு
unjutifiable interference,நீதிமுறைப்படுத்த முடியாத தலையீடு
surety,பிணை
computer simulation models,கணினி பாசாங்கு மாதிரிகள்
photocomposition machine,ஒளிஅமைப்பு இயந்திரம்
neutral (a),பாரபட்சமற்ற
time charter,காலப் பட்டயம்
intellectual skills,நுண்ணறிவாற்றல் திறன்கள்
preamble,முன்னுரை
agency functions,முகவராண்மைப் பணிகள்
drawer's signature,வரைபவர் ஒப்பம்
contingency planning,இடர்காலத்திட்டமிடல்
reader's theatre,வாசிப்போர் அரங்கு
health,ஆரோக்கியம்
capture (v),கைப்பற்று
historical materialism,வரலாற்றுப் பொருள் முதல் வாதம்
res adjudicata,மன்றில் தீர்த்த விடயம்
contingencies fund,எதிர்பாராச்செலவு நிதியம்
demonology,பேயியல் வாதம்
unmarried person,விவாகமாகாதவர்
declaration of war,போர்ப் பிரகடனம்
free will,சுயாதீன விருப்பு
surprise verification,திடீர் ஒப்பாய்வு செய்தல்
company dividend,கம்பனி பங்கிலாபம்
obligatory service period,கடப்பாட்டுச் சேவைக்காலம்
revocation of proxy,பதிலாள் தள்ளுபடி செய்தல்
title of action,வழக்கின் பெயர்
city editor,நகர ஆசிரியர்
growth cycle,வளர்ச்சிவட்டம்
draughtsman,வரைஞர்
system,முறைமை
wage earners,கூலி பெறுவோர்
industrial training act,தொழிற் பயிற்சிச் சட்டம்
dependence,சார்ந்திருத்தல்
facilities fees,வாய்ப்புநலக் கட்டணம்
common seal,பொது முத்திரை
recognize,அங்கீகரி
quarterly report,காலாண்டு அறிக்கை
issues accout,வழங்கீட்டுக் கணக்கு
method of trial and error,பரீட்சை வழு முறை
didactic question,அறநிலை வினா
rigidity,விறைப்பு
caveat emptor,கொள்வனவாளர் எச்சரிக்கையாய் இருத்தல் வேண்டும்
county college,மாவட்டக் கோட்டம்
reduction of news sources,செய்தி மூலங்களின் குறைப்பு
media studies course,ஊடக ஆய்வுகள் கற்கைநெறி
commercial geography,வர்த்தகப் புவியியல்
minimal consequences,குறைந்தபட்ச பின் விளைவுகள்
integration,ஒருங்கிணைப்பு
commercialisation of information,தகவலின் விளம்பரபடுத்தல்
voluntary resignation,தாமாகவே விட்டுவிலகுதல்
job card,தொழில் விவர அட்டை
extraordinary gazette,சிறப்பு அரசிதழ்
black market,கறுப்புச் சந்தை
folder,கோப்புறை
custom duties,தீர்வைக் கட்டணங்கள்
electrical plants,மின் ஆலை
literal injury,எழுத்துச் சேதம்
apprehend,கைதுசெய்
desirable (a),விரும்பத்தகு
peer questioning,துறைபோகியவர் வினவல்
rent-free quarters,இலவச வாடகை மனைகள்
emotional (a),மனவெழுச்சியுள்ள
sacrifice,தியாகம்
infancy,குழவிப்பருவம்
term,தவணை
interpersonal (a),ஆளிடை
minute papers,நிகழ்ச்சிக் குறிப்புகள்
acting pay,பதில் சம்பளம்
pensionable post,ஓய்வூதியஞ்சேர் பதவி
review lesson,மீள் நோக்குப் பாடம்
player,இயக்கி
squatter settlement,ஓரத்தில் அமைந்த குடியிருப்புக்கள்
allegations of fact,நிகழ்வுச் சார்த்துரைகள்
provision,ஏற்பாடு
non-user,பயன்பாடற்ற
copytester,பிரதிசோதனையாளர்
with leave of court,நீதிமன்ற அனுமதியுடன்
